Rank,Model_ID,Input_Features,Num_Inputs,Epochs_Run,R2_Train,RMSE_Train,MAE_Train,MBE_Train,NSE_Train,R2_Val,RMSE_Val,MAE_Val,MBE_Val,NSE_Val,R2_Test,RMSE_Test,MAE_Test,MBE_Test,NSE_Test
1,M57_n_Tmax_Tmin_RHmax_RHmin_u,n + Tmax + Tmin + RHmax + RHmin + u,6,302,0.9799,0.2887,0.2012,0.0005,0.9799,0.9806,0.281,0.2036,-1e-04,0.9806,0.9805,0.284,0.2089,0.0035,0.9805
2,M53_n_Tmax_Tmin_RHmin_u,n + Tmax + Tmin + RHmin + u,5,236,0.9791,0.2943,0.2136,-0.0184,0.9791,0.978,0.2993,0.2149,-0.0152,0.978,0.9785,0.2986,0.2182,-0.0161,0.9785
3,M54_n_Tmax_RHmax_RHmin_u,n + Tmax + RHmax + RHmin + u,5,353,0.9779,0.3027,0.2189,-0.0057,0.9779,0.9771,0.3057,0.2221,-0.0059,0.9771,0.9771,0.3082,0.2252,-0.0017,0.9771
4,M52_n_Tmax_Tmin_RHmax_u,n + Tmax + Tmin + RHmax + u,5,341,0.9778,0.3033,0.2233,0.0037,0.9778,0.9769,0.3072,0.2244,0.0045,0.9769,0.977,0.309,0.2279,0.0007,0.977
5,M41_n_Tmax_RHmin_u,n + Tmax + RHmin + u,4,311,0.9722,0.3393,0.2386,-0.0008,0.9722,0.9734,0.3297,0.2419,0.0014,0.9734,0.9739,0.3287,0.2432,0.004,0.9739
6,M38_n_Tmax_Tmin_u,n + Tmax + Tmin + u,4,250,0.9692,0.3575,0.2561,0.0006,0.9692,0.9704,0.3475,0.2555,0.0056,0.9704,0.9715,0.3437,0.2544,0.001,0.9715
7,M55_n_Tmin_RHmax_RHmin_u,n + Tmin + RHmax + RHmin + u,5,353,0.9715,0.3442,0.2479,-0.0082,0.9715,0.9709,0.3445,0.254,-0.0083,0.9709,0.9713,0.3451,0.2532,-0.0034,0.9713
8,M44_n_Tmin_RHmin_u,n + Tmin + RHmin + u,4,311,0.967,0.3702,0.2652,0.0064,0.967,0.9668,0.3679,0.2698,0.0089,0.9668,0.9675,0.367,0.2666,0.0128,0.9675
9,M40_n_Tmax_RHmax_u,n + Tmax + RHmax + u,4,254,0.9634,0.3897,0.2772,-0.0248,0.9634,0.9657,0.3742,0.2786,-0.0265,0.9657,0.9669,0.3707,0.2762,-0.0282,0.9669
10,M19_n_Tmax_u,n + Tmax + u,3,213,0.9576,0.4193,0.3129,0.0065,0.9576,0.9596,0.406,0.3099,0.0089,0.9596,0.9611,0.4014,0.3064,0.0067,0.9611
11,M43_n_Tmin_RHmax_u,n + Tmin + RHmax + u,4,351,0.9542,0.4361,0.311,-0.009,0.9542,0.9544,0.4312,0.3156,-0.0059,0.9544,0.9559,0.4277,0.309,-0.007,0.9559
12,M56_Tmax_Tmin_RHmax_RHmin_u,Tmax + Tmin + RHmax + RHmin + u,5,432,0.9228,0.5658,0.4206,-0.0056,0.9228,0.9209,0.5681,0.4255,-0.0051,0.9209,0.9213,0.5712,0.429,-0.005,0.9213
13,M49_Tmax_RHmax_RHmin_u,Tmax + RHmax + RHmin + u,4,299,0.9172,0.586,0.4379,0.0045,0.9172,0.9177,0.5796,0.4394,0.0046,0.9177,0.9193,0.5784,0.4368,0.0026,0.9193
14,M48_Tmax_Tmin_RHmin_u,Tmax + Tmin + RHmin + u,4,316,0.9184,0.5817,0.4338,0.0078,0.9184,0.9174,0.5805,0.4368,0.0116,0.9174,0.9185,0.5815,0.4385,0.0076,0.9185
15,M22_n_Tmin_u,n + Tmin + u,3,383,0.9143,0.5962,0.432,-0.0019,0.9143,0.9102,0.6053,0.4403,0.0038,0.9102,0.9184,0.5818,0.4271,0.011,0.9184
16,M31_Tmax_RHmin_u,Tmax + RHmin + u,3,353,0.9161,0.5901,0.4379,0.0053,0.9161,0.917,0.5819,0.4396,0.0065,0.917,0.9178,0.5837,0.4406,0.0025,0.9178
17,M51_n_Tmax_Tmin_RHmax_RHmin,n + Tmax + Tmin + RHmax + RHmin,5,338,0.9193,0.5787,0.4199,0.0116,0.9193,0.915,0.5889,0.4258,0.005,0.915,0.9163,0.5891,0.4253,0.0011,0.9163
18,M47_Tmax_Tmin_RHmax_u,Tmax + Tmin + RHmax + u,4,384,0.9067,0.6223,0.4504,-0.0098,0.9067,0.9124,0.5979,0.4507,-0.0101,0.9124,0.9127,0.6017,0.4518,-0.0168,0.9127
19,M36_n_Tmax_Tmin_RHmax,n + Tmax + Tmin + RHmax,4,263,0.9153,0.5928,0.4331,-0.019,0.9153,0.9115,0.601,0.4392,-0.0229,0.9115,0.9124,0.6025,0.4403,-0.0306,0.9124
20,M42_n_Tmin_RHmax_RHmin,n + Tmin + RHmax + RHmin,4,363,0.9139,0.5977,0.4342,0.0043,0.9139,0.91,0.6059,0.4384,-0.0024,0.91,0.9115,0.6057,0.4396,-0.0042,0.9115
21,M28_Tmax_Tmin_u,Tmax + Tmin + u,3,213,0.9037,0.6321,0.4713,-0.0067,0.9037,0.9046,0.624,0.4714,-0.0034,0.9046,0.9043,0.63,0.4747,-0.0111,0.9043
22,M39_n_Tmax_RHmax_RHmin,n + Tmax + RHmax + RHmin,4,384,0.9066,0.6225,0.4517,-0.0024,0.9066,0.9031,0.6289,0.4535,-0.0071,0.9031,0.9034,0.6327,0.4604,-0.0118,0.9034
23,M20_n_Tmin_RHmax,n + Tmin + RHmax,3,276,0.9039,0.6314,0.4616,-0.0119,0.9039,0.9002,0.6383,0.4679,-0.0143,0.9002,0.9034,0.6329,0.4616,-0.0166,0.9034
24,M37_n_Tmax_Tmin_RHmin,n + Tmax + Tmin + RHmin,4,361,0.9062,0.6238,0.454,0.0005,0.9062,0.9009,0.6358,0.458,-0.0014,0.9009,0.9033,0.6333,0.461,-0.0096,0.9033
25,M30_Tmax_RHmax_u,Tmax + RHmax + u,3,216,0.8992,0.6467,0.4952,0.0046,0.8992,0.8984,0.644,0.4995,0.0064,0.8984,0.8992,0.6463,0.4967,-0.0126,0.8992
26,M21_n_Tmin_RHmin,n + Tmin + RHmin,3,324,0.895,0.6601,0.4808,0.001,0.895,0.8896,0.6713,0.4877,-0.0015,0.8896,0.8938,0.6636,0.4825,-0.005,0.8938
27,M16_n_Tmax_Tmin,n + Tmax + Tmin,3,225,0.8921,0.6689,0.4867,-0.0234,0.8921,0.8906,0.6682,0.4885,-0.017,0.8906,0.8929,0.6663,0.484,-0.0278,0.8929
